image_path,text,conf,merchant,source
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__16.png,erc,0.7398,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__00.png,,0.0,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__01.png,,0.0,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__02.png,Chuyển tiền thành công!,1.0,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__03.png,200.000 VND,1.0,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__04.png,12.30-27/05/2026,0.9439,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__05.png,,0.0,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__06.png,VU SON HA,0.9929,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__07.png,,0.0,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__08.png,104876354510,0.9554,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__09.png,NGO DOAN ANH DUC chuyen tien,0.9555,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__10.png,Cảm ơn bẹn để sửi dung dịch vụ cửu MBBcnk,0.9566,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__11.png,,0.0,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__12.png,,0.0,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__13.png,,0.0,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__28c42394-07fa-40aa-b7db-22c86ba34834__14.png,t erc,0.7766,MB,28c42394-07fa-40aa-b7db-22c86ba34834.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__00.png,-70,0.8662,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__01.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__02.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__03.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__04.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__05.png,Chuyển tiền thành công!,1.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__06.png,1.463.000 VND,1.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__07.png,S-426-25/01/2026,0.976,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__08.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__09.png,HO HOANG ANH,0.9652,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__10.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__11.png,0836200412,1.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__12.png,HOANG MINH NHAT chuyen tien,0.9533,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__13.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__14.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__15.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__16.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__17.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__18.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__19.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__20.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__21.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__22.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__23.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2c7a3f08-adbb-412d-ac0b-3343ead771f2__24.png,,0.0,MB,2c7a3f08-adbb-412d-ac0b-3343ead771f2.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__00.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__01.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__02.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__03.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__04.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__05.png,Chuyển tiền thành công!,1.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__06.png,500.000 VND,1.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__07.png,S-1006-08/03/2026,0.9478,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__08.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__09.png,HO THI THU HUONG,1.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__10.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__11.png,101872361851,0.9711,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__12.png,mung me 8/3,1.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__13.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__14.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__15.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__16.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__17.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__18.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__19.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__20.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__21.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__22.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__23.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__2ccf28fd-bcad-4302-9248-2033ea28b4d8__24.png,,0.0,MB,2ccf28fd-bcad-4302-9248-2033ea28b4d8.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__00.png,,0.0,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__01.png,,0.0,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__02.png,,0.0,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__03.png,,0.0,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__04.png,,0.0,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__05.png,,0.0,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__06.png,Thenh toán thành công,0.9534,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__07.png,400.000 VND,1.0,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__08.png,S-014-10/03/2026,0.9365,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__09.png,,0.0,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__10.png,DANG THAO TRANG,0.9767,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__11.png,2 MBBenk MB,0.9255,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__12.png,0822231219 VCRCACRP22694,0.9355,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__13.png,MBTGYYM24120145,0.9211,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
images/MB__5fc7ca50-828e-47fd-8c37-5868bce36625__14.png,,0.0,MB,5fc7ca50-828e-47fd-8c37-5868bce36625.jpg
