text,label
son môi MAC 350k,Mua sắm
"chi phí billiards 1,5tr",Giải trí
hôm nay game 150k nhé,Giải trí
05-05-2026 trả đăng kiểm 2tr lần này,Di chuyển
tháng này chi logo 90k thật,Freelance
ăn phở gà 55k,Ăn uống
tháng này gas 90k nhé,Hóa đơn
đóng góp quyên góp trường học 400k,Từ thiện
05-05-2026 thưởng dự án 50.000,Thưởng
tiền lương từ nhà máy 120.000đ,Lương
hôm nay tiền công ty 100k vừa xong,Lương
hôm nay trả cát mèo 15k thật,Thú cưng
chi điện sinh hoạt 200k,Nhà ở
cuối tháng khám bệnh 45k á,Sức khỏe
vừa chi KPI 120k xong,Thưởng
chi phí Xanh SM 400k,Di chuyển
cuối tháng học phí 18k nhé,Giáo dục
tháng này phí SMS banking 800k rồi,Hóa đơn
hôm nay bonus 150k á,Thưởng
khám răng 850k,Sức khỏe
hôm nay trả nha khoa 200k hơi đau ví,Sức khỏe
tiền từ lãi trái phiếu 350k đồng,Đầu tư
dạy kèm 50k vnd,Freelance
quyên góp cứu trợ thiên tai 500k,Từ thiện
tối qua trả KPI 100k thật,Thưởng
"nhận lại tiền cọc 1,5tr",Thu nhập khác
chi phí phí cầu đường 10tr (2026),Di chuyển
đóng chứng chỉ 1tr5,Giáo dục
tháng này hoa 90k thật,Quà tặng
tối qua ủng hộ 50k vnd á,Từ thiện
tháng này trả gas 10tr á,Hóa đơn
tháng này quạt 450k lần này,Nhà ở
cuối tháng uống cà phê 20k rồi,Ăn uống
mua tất 5 đôi 80k,Mua sắm
hôm nay order ốp lưng 800k luôn,Mua sắm
siêu âm 220k,Sức khỏe
cuối tuần chi cát mèo 2tr nhé,Thú cưng
photo tài liệu 30k,Khác
ck freelance 3tr,Freelance
lợi nhuận trade coin 10tr,Đầu tư
đi chơi bowling sinh nhật 150k,Giải trí
cuối tuần sách 70k,Giáo dục
cuối tháng tiền về quê 120k lần này,Gia đình
chi phí chứng chỉ 10tr tháng này,Giáo dục
cuối tuần trả tk nhận tiền tháng 15tr haiz,Lương
chi phí vé sự kiện 350k đồng,Giải trí
vừa sửa cửa phòng trọ 50k,Nhà ở
mua đồ ăn siêu thị nấu 200k,Ăn uống
vừa chi tiền về quê 50k haiz,Gia đình
05-05-2026 cát mèo 800k haiz,Thú cưng
hôm nay lãi tiết kiệm 5tr rồi,Đầu tư
cuối tuần phí cầu đường 1tr5 haiz,Di chuyển
"mua vặt 1,5tr",Khác
nhận tiền làm website 300k,Freelance
vừa chi sữa bé 50k vnd xong,Gia đình
tối qua ủng hộ 40k nhé,Từ thiện
hôm nay tiền khách thanh toán đơn 25k luôn,Bán hàng
học kỹ năng thuyết trình 1tr5,Giáo dục
order phụ kiện điện thoại 700k,Mua sắm
hôm nay netflix 100k thật,Giải trí
cuối tháng content 300k xong,Freelance
cuối tuần karaoke 2tr á,Giải trí
trả quạt 180k hơi đau ví,Nhà ở
mua đồ cho con 50k vnd,Gia đình
mua quần áo 400k,Mua sắm
cuối tuần cát mèo 12tr đấy,Thú cưng
chi phí nuôi mèo tháng 400k,Thú cưng
05-05-2026 trả Du lịch 2tr luôn,Du lịch
khách sạn chuyến đi 30k,Du lịch
mua đồ an vat 50k vnd,Mua sắm
cuối tuần chuyển tiền nhầm 10tr luôn,Khác
ờm trả quyên góp 18k haiz,Từ thiện
chi phí phí cầu đường 25.000đ (2026),Di chuyển
hôm nay khám bệnh 350.000đ nhé,Sức khỏe
hôm nay ck tiền trọ 1tr đấy,Nhà ở
cuối tháng chi cổ tức 50.000 rồi,Đầu tư
bán đồ 500k,Bán hàng
cuối tuần chi tiền về quê 2tr5 haiz,Gia đình
du lịch Đà Lạt resort 800k,Du lịch
vé xem phim CGV The Batman 120k,Giải trí
cuối tuần học phí 80k rồi,Giáo dục
vừa tiền thuốc cho ba 80k rồi,Gia đình
chi phí câu cá cuối tuần 400k,Giải trí
du lịch Đà Lạt mua tour 1tr,Du lịch
05-05-2026 gas 350k luôn,Hóa đơn
trả thú y 3tr đấy,Thú cưng
chi gym tháng 150k,Sức khỏe
du lịch Vũng Tàu vé tham quan 100k tháng này,Du lịch
đặt phòng karaoke 400k,Giải trí
chi yoga 400k,Sức khỏe
tháng này video 120k hơi đau ví,Freelance
quyên góp 25k đấy,Từ thiện
05-05-2026 taxi ra sân bay 200k haiz,Di chuyển
cuối tháng trả KPI 8tr rồi,Thưởng
tối qua trả tiền công ty 50000 á,Lương
tiền mừng sinh nhật nhận 1tr,Thu nhập khác
hôm nay chi shopee 3tr luôn,Bán hàng
vừa doanh thu bán online 50.000 nhé,Bán hàng
chơi escape room 250k,Giải trí
tháng này chi cát mèo 50.000 thật,Thú cưng
chi tiền công ty 2tr rồi,Lương
thưởng dự án xong 900k,Thưởng
05-05-2026 chi wifi 400k xong,Hóa đơn
chi tiêm vaccine 120k,Sức khỏe
ck tro 2tr5,Nhà ở
vừa trả bonus 3tr hơi đau ví,Thưởng
05-05-2026 wifi 2tr nhé,Hóa đơn
cuối tuần người thân gửi lại tiền 1tr5,Thu nhập khác
05-05-2026 gia sư 50000 lần này,Giáo dục
thuốc tẩy giun 350k đồng,Thú cưng
tháng này mua SSD 10tr thật,Mua sắm
tối qua chi Du lịch 8tr haiz,Du lịch
xe khách 850k,Di chuyển
"tối qua chi nha khoa 1,5tr thật",Sức khỏe
trả tiền Xanh SM 40k,Di chuyển
nhận nhận lại tiền cọc 200k,Thu nhập khác
vừa thú y 800k hơi đau ví,Thú cưng
chi phí gửi xe máy 50k,Di chuyển
mua tắm cắt lông cho thú cưng 15tr,Thú cưng
đóng điện sinh hoạt 950k,Nhà ở
vừa chi tiền về quê 2tr haiz,Gia đình
vừa chi lương kỳ 350k xong,Lương
"nhận lợi nhuận chứng khoán 1,5tr",Đầu tư
cuối tuần giúp đỡ 2tr5 xong,Từ thiện
vừa trả học phí 250k vừa xong,Giáo dục
hôm nay cashback shopee 250k luôn,Thu nhập khác
hôm nay chi thú y 900k vừa xong,Thú cưng
cuối tuần trả incentive 350k haiz,Thưởng
05-05-2026 tk nhận tiền tháng 800k á,Lương
tối qua mua nồi chiên 300k nhé,Mua sắm
trả gas 350k xong,Hóa đơn
ck tiền thuê trọ 200k,Nhà ở
vừa trả cưới 900k lần này,Quà tặng
hôm nay chi payroll 50.000 nhé,Lương
nấu bún chả 600k luôn,Ăn uống
mua sách kinh doanh khởi nghiệp 350k,Giáo dục
cuối tháng chốt đơn ốp lưng 50000 nhé,Mua sắm
hom qua do xang 150k,Di chuyển
mua đồ chơi pet cho thú cưng 500k,Thú cưng
ờm vitamin 50000 lần này,Sức khỏe
tối qua trả tiêm phòng 12tr đấy,Thú cưng
vừa chi ủng hộ 50000 xong,Từ thiện
lợi nhuận từ trading 8tr,Đầu tư
vừa chi HR chuyển 50k vừa xong,Lương
tối qua thưởng tết 700k á,Thưởng
"linh tinh 50,000 á",Khác
cuối tuần video 2tr haiz,Freelance
tối qua chi thức ăn chó 150k haiz,Thú cưng
05-05-2026 book đăng kiểm 80k xong,Di chuyển
cuối tuần giúp đỡ 50k nhé,Từ thiện
cuối tuần dạy kèm 250k nhé,Freelance
cuối tháng học phí 90k lần này,Giáo dục
nhận cashback thẻ 750k,Thu nhập khác
hôm nay chi payroll 50kđ á,Lương
05-05-2026 chi đồ dùng học 80k nhé,Giáo dục
mua lồng chuồng cho thỏ 500k,Thú cưng
tối qua đặt grab food 1tr2 xong,Ăn uống
nhổ răng 300k,Sức khỏe
trả nội thất 5tr rồi,Nhà ở
tháng này thưởng dự án 200k rồi,Thưởng
đồ gia dụng 500k rồi,Mua sắm
bún thịt nướng 400k,Ăn uống
cửa hàng mua bàn phím cơ 60k,Mua sắm
cuối tháng thưởng dự án 900k lần này,Thưởng
vừa tết 40k thật,Quà tặng
photo 2tr — ghi chú,Khác
ờm chi dạy kèm 1tr2 nhé,Freelance
hình như mua linh kiện PC 2tr thật,Mua sắm
tiền lương từ công ty 650k,Lương
tháng này chi thuốc 40k,Sức khỏe
chi incentive 600k á,Thưởng
trả tiền vé metro 20tr,Di chuyển
hoàn tiền đơn 12tr,Thu nhập khác
đóng góp quyên góp môi trường 25.000đ,Từ thiện
cuối tháng chi phí đăng kiểm 800k đấy,Di chuyển
tháng này chi ông bà 45k lần này,Gia đình
hôm nay khám bệnh 500k haiz,Sức khỏe
05-05-2026 shopee 30k thật,Bán hàng
05-05-2026 chi quyên góp 300k luôn,Từ thiện
tối qua chi đồ dùng học 15k haiz,Giáo dục
grab bike đi chợ 35k,Di chuyển
ăn tối pizza 800k,Ăn uống
ăn trưa bánh khọt 15k,Ăn uống
quà tốt nghiệp đại học cho em 500k,Quà tặng
du lịch Nha Trang resort 25k,Du lịch
cuối tuần thuê nhà 2tr5 xong,Nhà ở
hôm nay mua chuột máy tính 250k vừa xong,Mua sắm
đi bar uống cocktail với bạn 400k,Giải trí
ờm trả video 700k rồi,Freelance
vừa KPI 80k thật,Thưởng
mua sữa mẹ bầu 500k,Gia đình
nhận nhận lại tiền cọc 15tr,Thu nhập khác
tối qua trả linh tinh 700k vừa xong,Khác
tặng quà sinh nhật bạn thân 300k,Quà tặng
cuối tháng chi sửa đồ 10tr vừa xong,Khác
ờm trả thưởng tết 700k thật,Thưởng
05-05-2026 thuê xe đi du lịch 1tr haiz,Du lịch
tối qua sửa nhà 50kđ đấy,Nhà ở
biếu tiền mừng sinh nhật mẹ 500k,Gia đình
hôm nay payroll 25k đấy,Lương
trả phát sinh 700k luôn,Khác
hình như thuê phòng dài hạn 15.000.000 vừa xong,Nhà ở
vừa cho vay bạn 600k thật,Khác
cuối tuần spotify 70k thật,Giải trí
order cơm niêu 25k,Ăn uống
cuối tuần trả nhận mừng 45k lần này,Thu nhập khác
cuối tuần chi gas bếp 5tr haiz,Nhà ở
thanh toán tip phục vụ 280k — ghi chú,Khác
đóng lớp tiếng Anh 60k,Giáo dục
cuối tuần lương kỳ 10tr luôn,Lương
"tối qua Du lịch 1,5tr rồi",Du lịch
tiền được tặng 1tr,Thu nhập khác
05-05-2026 lương kỳ 70k á,Lương
phí làm giấy tờ hành chính 700k vừa xong,Khác
hôm nay trả gia sư 55k lần này,Giáo dục
tháng này quà bạn 55k luôn,Quà tặng
freelance dự án app 25.000đ,Freelance
vừa trả cho thuê 40k nhé,Đầu tư
cuối tuần chi đồ dùng học 700k,Giáo dục
ủng hộ 3tr nhé,Từ thiện
hình như nhận tiền bán áo 120k vừa xong,Bán hàng
tháng này refund 250k nhé,Thu nhập khác
tháng này điện 50kđ hơi đau ví,Hóa đơn
cuối tuần trả nạp dt 350k vừa xong,Hóa đơn
"học phí kỳ 2 50,000",Giáo dục
tháng này khoản cty chuyển 5tr đấy,Lương
chi gia sư 15k haiz,Giáo dục
hôm nay trái phiếu 1tr2 nhé,Đầu tư
05-05-2026 vé tàu hỏa Sài Gòn Đà Nẵng 30k vừa xong,Di chuyển
pizza giao tận nơi 220k,Ăn uống
05-05-2026 chi incentive 50kđ á,Thưởng
tháng này trả logo 350.000đ,Freelance
trả hoa 2tr,Quà tặng
chi phí chuyến đi Phú Yên 2tr,Du lịch
tối qua gửi xe 2tr5 đấy,Di chuyển
cuối tuần phí bank 350.000đ,Hóa đơn
nhận tiền chụp ảnh 120k,Freelance
tối qua nội thất 50kđ haiz,Nhà ở
05-05-2026 mua quần jean 350.000đ haiz,Mua sắm
tháng này trả KPI 45k nhé,Thưởng
hôm nay cashback shopee 50k haiz,Thu nhập khác
du lịch Hạ Long thuê xe máy 30k,Du lịch
trả tk nhận tiền tháng 45k vừa xong,Lương
05-05-2026 chi cho thuê 5tr rồi,Đầu tư
vừa chi giúp đỡ 55k vừa xong,Từ thiện
hôm nay chi quyên góp 60k xong,Từ thiện
cuối tháng trả tết 18k lần này,Quà tặng
đặt pizza Dominos 280k,Ăn uống
trả nội thất 10tr hơi đau ví,Nhà ở
hôm nay chi sinh nhật 50kđ vừa xong,Quà tặng
tháng này thuốc 50k đấy,Sức khỏe
mua sách lập trình Java 200k,Giáo dục
vừa sửa cửa phòng trọ 15000000 thật,Nhà ở
cuối tháng cho thuê 500k vừa xong,Đầu tư
hôm nay video 150k rồi,Freelance
đồ dùng học 50k nhé,Giáo dục
hôm nay sinh nhật 180k rồi,Quà tặng
vừa phí chuyển tiền ngân hàng 200k rồi,Hóa đơn
cửa hàng mua giày sneaker 40k,Mua sắm
ờm chi sửa nhà 500k đấy,Nhà ở
ờm thưởng tết 50kđ haiz,Thưởng
"tiền điện EVN 50,000",Hóa đơn
sắm shopee 1tr luôn,Mua sắm
tiêm vaccine 20tr,Sức khỏe
xe ôm đi khám 30k,Di chuyển
ờm tiền thuốc cho ba 8tr rồi,Gia đình
hôm nay sắm lazada 18k xong,Mua sắm
trả tiền Be 2tr5,Di chuyển
chuyển khoản tiền nuôi con 25.000đ,Gia đình
"cuối tháng con 1,5tr",Gia đình
ờm trả giúp đỡ 180k đấy,Từ thiện
ờm trả sửa đồ 5tr á,Khác
vừa chi nhận quà 50000 haiz,Thu nhập khác
"nộp thuế nhà đất 1,5tr",Hóa đơn
tiền gửi về cho gia đình 5tr,Gia đình
tối qua tết 90k vừa xong,Quà tặng
tháng này chụp ảnh 18k rồi,Freelance
hôm nay ba mẹ 800k luôn,Gia đình
chi lương kỳ 5tr nhé,Lương
cuối tháng chi nha khoa 50kđ á,Sức khỏe
ờm nhận lại tiền cọc 12tr,Thu nhập khác
tháng này netflix 35k á,Giải trí
chi gas bếp 750k,Nhà ở
chi tiêm vaccine 35k lần này,Sức khỏe
cuối tháng chi lãi tiết kiệm 800k đấy,Đầu tư
tối qua gia sư 15tr hơi đau ví,Giáo dục
cashback 100k,Thu nhập khác
netflix tháng 260k,Giải trí
freelance thiết kế logo 500k vừa chi,Freelance
tháng này chụp ảnh 10tr vừa xong,Freelance
ờm chi thưởng tết 200k,Thưởng
tối qua sữa bé 50k vnd vừa xong,Gia đình
đóng internet wifi 550k vừa chi,Nhà ở
tour 50k vnd,Du lịch
khám mắt và mua kính thuốc 2tr,Sức khỏe
cuối tháng ốp lưng 300k vừa xong,Mua sắm
hôm nay cát mèo 180k thật,Thú cưng
học thêm toán 350k,Giáo dục
hôm nay đặt cơm hộp 50kđ,Ăn uống
hôm nay chi thưởng tết 50k vnd lần này,Thưởng
ờm trả gas bếp 500k haiz,Nhà ở
nhận hoàn thuế 550k,Thu nhập khác
yoga 200k,Sức khỏe
mua máy xay sinh tố 20k,Mua sắm
hôm nay tiền công ty 15k lần này,Lương
đầu tư coin 18k thật,Đầu tư
tk tăng bất thường sáng nay 180k,Lương
chi phát sinh 70k rồi,Khác
05-05-2026 vé xe khách 15000000 thật,Di chuyển
cuối tuần gia sư 15tr á,Giáo dục
giúp người khó khăn 350k,Từ thiện
05-05-2026 trả phí bank 180k lần này,Hóa đơn
tiêm phòng 2tr5 đấy,Thú cưng
quyên góp từ thiện miền Trung lũ lụt 200k,Từ thiện
tháng này chi video 800k,Freelance
ờm trả quyên góp 700k hơi đau ví,Từ thiện
đi uber 70k,Di chuyển
tối qua trả phát sinh 25k lần này,Khác
chi KPI 350.000đ hơi đau ví,Thưởng
pay rent 50kđ,Nhà ở
tháng này chi sữa bé 18k hơi đau ví,Gia đình
vừa incentive 8tr hơi đau ví,Thưởng
chốt đơn lazada 120k luôn,Mua sắm
ờm tiêm phòng 12tr hơi đau ví,Thú cưng
cuối tuần trả tk nhận tiền tháng 900k xong,Lương
ờm chắc hôm nay lỡ order trà sữa 10tr,Ăn uống
nhận tiền tư vấn thuế 1tr5,Freelance
cuối tuần sửa điều hòa phòng trọ 600k đấy,Nhà ở
phí bảo hiểm nhân thọ 450k,Hóa đơn
cuối tuần chi Du lịch 18k hơi đau ví,Du lịch
cước di động 950k,Hóa đơn
bán xe máy cũ 1tr2,Bán hàng
thanh toán làm slide 1tr5 lần này,Freelance
chuyến đi chơi xa 5tr,Du lịch
cuối tuần chi cashback 8tr haiz,Thu nhập khác
ờm chi phát sinh 300k luôn,Khác
nhận điểm đổi quà 350k đồng,Thu nhập khác
cuối tuần refund 600k luôn,Thu nhập khác
order bún thịt nướng 750k,Ăn uống
cuối tháng chi logo 700k luôn,Freelance
05-05-2026 Du lịch 2tr thật,Du lịch
tháng này chi phát sinh 500k lần này,Khác
"05-05-2026 trả tiêm phòng 1,5tr lần này",Thú cưng
ờm trả gym 40k,Sức khỏe
tháng này sắm ốp lưng 50k vnd xong,Mua sắm
05-05-2026 bonus 50k rồi,Thưởng
billiards 10tr,Giải trí
ờm trả thú y 150k vừa xong,Thú cưng
cuối tuần trái phiếu 3tr nhé,Đầu tư
"vừa thuốc 1,5tr đấy",Sức khỏe
tháng này cho vay bạn 1tr2 haiz,Khác
mua sách kỹ năng mềm của Robin Sharma 180k,Giáo dục
tối qua chi concert 180k hơi đau ví,Giải trí
cuối tháng doanh thu 3tr nhé,Bán hàng
vừa chi sửa nhà 12tr haiz,Nhà ở
ăn khuya bánh khọt 60k,Ăn uống
tháng này khám bệnh 250k rồi,Sức khỏe
ờm vé xe khách về quê 8tr,Di chuyển
ăn tối ở nhà hàng hải sản 450k,Ăn uống
tối qua trái phiếu 2tr5 á,Đầu tư
hôm nay ông bà 70k lần này,Gia đình
hình như mua vitamin 350k haiz,Sức khỏe
lai chung khoan 8tr,Đầu tư
bán xe máy cũ 100k,Bán hàng
payroll 150k,Lương
ờm netflix 100k vừa xong,Giải trí
vừa shopee 5tr lần này,Mua sắm
tối qua đi cầu đường 2tr nhé,Di chuyển
ăn uống chuyến đi 700k,Du lịch
ờm chi điện 120k hơi đau ví,Hóa đơn
vừa trả bonus 8tr xong,Thưởng
vcb +250k lương,Lương
tháng này sửa đồ 40k nhé,Khác
cuối tháng website 25k rồi,Freelance
đóng tài liệu ôn 20k,Giáo dục
hôm nay trả Du lịch 8tr đấy,Du lịch
tháng này payroll 3tr hơi đau ví,Lương
cuối tháng trả từ thiện 200k á,Từ thiện
ờm bán đồ cũ 3tr á,Bán hàng
05-05-2026 không rõ 450k vừa xong,Khác
ờm chi payroll 50000 hơi đau ví,Lương
cuối tuần trả vé metro 40k thật,Di chuyển
nhậu cơm hộp 700k,Ăn uống
tối qua điện 12tr nhé,Hóa đơn
cuối tuần khách trả tiền đơn hàng 300k nhé,Bán hàng
tối qua chi tiền công ty 150k lần này,Lương
tháng này chi gas 600k rồi,Hóa đơn
thanh toán photo 150k,Khác
vừa thuê phòng hostel bụi 15k thật,Du lịch
vừa thuê nhà 8tr đấy,Nhà ở
chi khóa học 350.000đ á,Giáo dục
cuối tháng trả cổ tức 8tr luôn,Đầu tư
cuối tuần trả gym 800k nhé,Sức khỏe
hình như thu tiền khách mua sản phẩm 15tr nhé,Bán hàng
hôm nay order đồ ăn vặt 350k hơi đau ví,Ăn uống
mua tủ lạnh 7tr,Nhà ở
ờm không rõ 90k á,Khác
hôm nay chi phí sửa xe 15k đấy,Di chuyển
nâng cấp RAM máy tính 150k rồi,Mua sắm
chi giúp đỡ 200k luôn,Từ thiện
05-05-2026 website 55k vừa xong,Freelance
tháng này trái phiếu 55k vừa xong,Đầu tư
ăn hải sản Đà Nẵng 500k,Ăn uống
ờm chi lương kỳ 10tr rồi,Lương
mua vitamin 250k,Sức khỏe
hoa 45k lần này,Quà tặng
khám bệnh định kỳ 300k,Sức khỏe
đặt son môi trên mạng 4tr,Mua sắm
trả trái phiếu 200k xong,Đầu tư
tháng này gas bếp 50.000 rồi,Nhà ở
đóng rèm cửa 180k,Nhà ở
ờm tiền về quê 150k rồi,Gia đình
doanh thu cửa hàng 280k,Bán hàng
ờm trả phát sinh 350k haiz,Khác
bánh khọt 70k,Ăn uống
hôm nay quạt 35k rồi,Nhà ở
tiền ăn cả nhà 1tr2,Gia đình
phở tái nạm sáng 50k vnd,Ăn uống
ờm khoản cty chuyển 450k thật,Lương
cho con học phí 50kđ,Giáo dục
vừa nhậu bánh mì 50000 rồi,Ăn uống
05-05-2026 shopee 1tr vừa xong,Bán hàng
nhận bonus dự án 600k — ghi chú,Thưởng
nhận tiền dạy online 400k,Freelance
cuối tháng chi cashback 50kđ nhé,Thu nhập khác
"ờm chi học phí 1,5tr thật",Giáo dục
cashback 70k á,Thu nhập khác
hôm nay khách trả tiền đơn hàng 1tr2 haiz,Bán hàng
vừa trả tk nhận tiền tháng 30k,Lương
cuối tuần tiêm phòng 900k xong,Thú cưng
ờm quyên góp 8tr,Từ thiện
hôm nay internet 3tr lần này,Hóa đơn
hôm nay trả lương kỳ 18k lần này,Lương
mua cát mèo 700k,Thú cưng
ờm trả sữa bé 20k,Gia đình
quà ông bà 800k,Gia đình
canh chua cá lóc nấu ở nhà 70k,Ăn uống
vừa mua thuốc cho mẹ 15.000.000 luôn,Gia đình
chi phí học phí 1tr5,Giáo dục
tặng mỹ phẩm tặng 750k,Quà tặng
hình như mua tai nghe bluetooth 4tr rồi,Mua sắm
05-05-2026 vé máy bay đi du lịch 80k nhé,Du lịch
cf với team 400k,Ăn uống
cuối tuần trả linh tinh 1tr hơi đau ví,Khác
cuối tuần sửa đồ 15k rồi,Khác
tối qua trả hoa 350k lần này,Quà tặng
ờm netflix 2tr nhé,Giải trí
hôm nay cổ tức 3tr hơi đau ví,Đầu tư
vừa vé tàu hỏa Sài Gòn Đà Nẵng 100k rồi,Di chuyển
quyên góp môi trường 950k,Từ thiện
ờm thú y 15k hơi đau ví,Thú cưng
vừa sửa điều hòa phòng trọ 900k vừa xong,Nhà ở
05-05-2026 Du lịch 8tr xong,Du lịch
05-05-2026 khám bệnh 8tr,Sức khỏe
cuối tháng chụp ảnh 900k,Freelance
tối qua thanh toán xe bus 50.000 xong,Di chuyển
mua đồ an vat 180k,Mua sắm
ờm người thân gửi lại tiền 400k thật,Thu nhập khác
